bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,0.005308294,0.0,0.0,0.0378
1,0.0033059493,0.0,1.391,0.0235
2,0.0030817748,0.0,1.389,0.0219
3,0.0025453635,0.0,1.48,0.0181
4,0.001401393,0.0,1.468,0.00997
5,0.0033680582,0.0,1.443,0.024
6,0.0038992893,0.0,1.503,0.0277
7,0.0054534446,0.0,1.449,0.0388
8,-0.0021578027,0.0,1.387,-0.0154
9,0.004982895,0.0,1.424,0.0354
10,0.008451174,0.0,1.528,0.0601
11,-0.001572127,0.0,1.421,-0.0112
12,0.0025633357,0.0,1.444,0.0182
13,0.011024341,1.386,0.0,0.0784
14,0.010529054,1.468,0.0,0.0749
15,5.903273E-4,1.452,0.0,0.0042
16,0.0068013445,1.542,0.0,0.0484
17,0.0050403,1.484,0.0,0.0359
18,0.001192495,1.423,0.0,0.00848
19,0.0014308882,1.467,0.0,0.0102
20,0.0026328978,1.484,0.0,0.0187
21,0.001064048,1.423,0.0,0.00757
22,0.0045021973,1.498,0.0,0.032
23,0.002286884,1.445,0.0,0.0163
24,0.0035094027,1.51,0.0,0.025
25,0.0033053677,0.0,0.0,0.0235
26,0.005729473,0.0,0.0,0.0408
27,0.0032152962,0.0,0.0,0.0229
28,0.0016816505,0.0,0.0,0.012
29,8.654046E-4,0.0,0.0,0.00616
30,0.0011691314,0.0,0.0,0.00832
31,0.0020608597,0.0,0.0,0.0147
32,0.0021903638,0.0,0.0,0.0156
33,0.0042115794,0.0,0.0,0.03
34,0.0035435495,0.0,0.0,0.0252
35,6.6538685E-4,0.0,0.0,0.00473
36,0.0030373735,0.0,0.0,0.0216
37,0.00292711,0.0,0.0,0.0208
38,0.0020052523,0.0,0.0,0.0143
39,0.005240106,0.0,0.0,0.0373
40,0.0028976148,0.0,0.0,0.0206
41,0.0034158425,0.0,0.0,0.0243
42,0.0032215337,0.0,0.0,0.0229
43,0.0010652109,0.0,0.0,0.00758
44,0.0013443055,0.0,0.0,0.00956
45,4.5796882E-4,0.0,0.0,0.00326
46,0.0037636536,0.0,0.0,0.0268
47,0.0054129544,0.0,0.0,0.0385
48,0.0034537953,0.0,0.0,0.0246
49,0.0041099847,0.0,0.0,0.0292
50,0.0021883552,0.0,0.0,0.0156
51,0.0018796596,0.0,0.0,0.0134
52,0.0042205653,0.0,0.0,0.03
53,0.004816496,0.0,0.0,0.0343
54,0.005364113,0.0,0.0,0.0382
55,0.004596709,0.0,0.0,0.0327
56,8.5396185,1.504,1.568,60.7
57,8.853108,1.554,1.543,63.0
58,10.114185,1.653,1.695,72.0
59,9.831996,1.632,1.642,69.9
60,10.521745,1.723,1.779,74.9
61,9.108388,1.568,1.607,64.8
62,10.020795,1.686,1.697,71.3
63,9.574955,1.665,1.631,68.1
64,9.255007,1.645,1.608,65.8
65,8.56308,1.577,1.536,60.9
66,9.176452,1.623,1.609,65.3
67,9.176434,1.63,1.621,65.3
68,8.299212,1.532,1.539,59.0
69,8.344343,1.554,1.547,59.4
70,8.928793,1.621,1.623,63.5
71,8.737415,1.6,1.629,62.2
72,8.228215,1.56,1.578,58.5
73,7.9099994,1.514,1.569,56.3
74,8.371533,1.614,1.606,59.6
75,8.230816,1.602,1.571,58.6
76,7.681339,1.534,1.535,54.6
77,7.5184608,1.509,1.513,53.5
78,8.129804,1.595,1.595,57.8
79,8.330427,1.616,1.62,59.3
80,8.208188,1.603,1.59,58.4
81,8.314132,1.597,1.624,59.1
82,8.703608,1.66,1.632,61.9
83,8.833764,1.627,1.69,62.8
84,8.532724,1.623,1.601,60.7
85,8.073776,1.561,1.553,57.4
86,9.155768,1.665,1.711,65.1
87,8.741423,1.642,1.622,62.2
88,8.142851,1.544,1.591,57.9
89,8.084112,1.557,1.553,57.5
90,8.728851,1.623,1.64,62.1
91,7.826267,1.527,1.551,55.7
92,0.056683894,0.0,0.0,0.403
93,-0.03074121,0.0,0.0,-0.219
94,-0.04233611,0.0,0.0,-0.301
95,-0.021305805,0.0,0.0,-0.152
96,-0.018394869,0.0,0.0,-0.131
97,-0.016105026,0.0,0.0,-0.115
98,-0.012231319,0.0,0.0,-0.087
99,6.8860106,1.4,1.522,49.0
100,8.031147,1.54,1.506,57.1
101,8.561554,1.568,1.609,60.9
102,8.461233,1.552,1.564,60.2
103,9.578768,1.695,1.766,68.1
104,8.167898,1.516,1.563,58.1
105,8.926432,1.649,1.642,63.5
106,8.513941,1.6,1.569,60.6
107,8.089175,1.581,1.526,57.5
108,7.783687,1.511,1.511,55.4
109,8.227547,1.576,1.533,58.5
110,8.415922,1.613,1.528,59.9
111,7.5059314,1.482,1.461,53.4
112,7.510619,1.508,1.452,53.4
113,8.0126915,1.576,1.513,57.0
114,8.128537,1.592,1.524,57.8
115,7.532144,1.551,1.453,53.6
116,6.9035125,1.458,1.388,49.1
117,8.196199,1.61,1.582,58.3
118,7.805995,1.579,1.5,55.5
119,7.5751367,1.566,1.476,53.9
120,7.2517557,1.501,1.451,51.6
121,7.95023,1.574,1.572,56.6
122,8.071104,1.614,1.554,57.4
123,7.711459,1.584,1.485,54.9
124,7.916925,1.578,1.519,56.3
125,8.261406,1.609,1.55,58.8
126,8.803661,1.684,1.598,62.6
127,7.9916058,1.602,1.491,56.9
128,7.5592265,1.529,1.446,53.8
129,8.533675,1.637,1.581,60.7
130,8.51196,1.647,1.556,60.6
131,7.625699,1.56,1.432,54.2
132,7.7291875,1.542,1.469,55.0
133,8.2322855,1.591,1.553,58.6
134,7.782548,1.576,1.478,55.4
135,0.053657413,0.0,0.0,0.382
136,-0.038555857,0.0,0.0,-0.274
137,-0.052940432,0.0,0.0,-0.377
138,-0.029659929,0.0,0.0,-0.211
139,-0.025534404,0.0,0.0,-0.182
140,-0.022764074,0.0,0.0,-0.162
141,-0.020165851,0.0,0.0,-0.143
142,6.3601904,1.412,1.394,45.2
143,7.534639,1.46,1.478,53.6
144,8.574227,1.594,1.594,61.0
145,8.075828,1.519,1.521,57.5
146,8.929019,1.684,1.629,63.5
147,7.6559978,1.487,1.482,54.5
148,8.799701,1.625,1.632,62.6
149,8.366959,1.564,1.563,59.5
150,8.77526,1.631,1.631,62.4
151,8.0968485,1.547,1.523,57.6
152,8.599291,1.59,1.599,61.2
153,8.694156,1.597,1.603,61.8
154,8.449905,1.612,1.536,60.1
155,7.8412995,1.527,1.49,55.8
156,8.825019,1.611,1.652,62.8
157,8.561125,1.607,1.596,60.9
158,7.930188,1.546,1.535,56.4
159,7.550078,1.478,1.523,53.7
160,8.515029,1.643,1.611,60.6
161,8.147319,1.595,1.544,58.0
162,7.6953063,1.502,1.555,54.7
163,7.6656985,1.531,1.507,54.5
164,8.743873,1.658,1.662,62.2
165,8.440501,1.621,1.597,60.0
166,8.319313,1.627,1.544,59.2
167,8.380414,1.584,1.575,59.6
168,8.773033,1.679,1.568,62.4
169,8.979169,1.674,1.6,63.9
170,8.58834,1.633,1.545,61.1
171,8.236647,1.527,1.547,58.6
172,8.891067,1.659,1.567,63.3
173,8.595775,1.608,1.533,61.1
174,8.377825,1.602,1.491,59.6
175,8.369965,1.575,1.481,59.5
176,8.9909115,1.671,1.532,64.0
177,8.327122,1.576,1.509,59.2
178,0.062038705,0.0,0.0,0.441
179,-0.041897908,0.0,0.0,-0.298
180,-0.05922059,0.0,0.0,-0.421
181,-0.032989614,0.0,0.0,-0.235
182,-0.03182714,0.0,0.0,-0.226
183,-0.028657198,0.0,0.0,-0.204
184,-0.026011297,0.0,0.0,-0.185
185,-0.025966154,0.0,0.0,-0.185
186,-0.026805554,0.0,0.0,-0.191
187,-0.025435664,0.0,0.0,-0.181
188,-0.021490071,0.0,0.0,-0.153
189,-0.023604,0.0,0.0,-0.168
190,-0.022314774,0.0,0.0,-0.159
191,-0.020962644,0.0,0.0,-0.149
192,-0.019055499,0.0,0.0,-0.136
193,-0.01799346,0.0,0.0,-0.128
194,-0.019363772,0.0,0.0,-0.138
195,-0.017466035,0.0,0.0,-0.124
196,-0.01631995,0.0,0.0,-0.116
197,-0.017434424,0.0,0.0,-0.124
198,-0.015241946,0.0,0.0,-0.108
199,-0.013495068,0.0,0.0,-0.096
200,-0.015858809,0.0,0.0,-0.113
201,-0.018939104,0.0,0.0,-0.135
202,-0.01587731,0.0,0.0,-0.113
203,-0.016180402,0.0,0.0,-0.115
204,-0.015137286,0.0,0.0,-0.108
205,-0.013750059,0.0,0.0,-0.0978
206,-0.014300848,0.0,0.0,-0.102
207,-0.013831144,0.0,0.0,-0.0984
208,-0.012355009,0.0,0.0,-0.0879
209,8.776326,1.537,1.601,62.4
210,9.049851,1.557,1.574,64.4
211,9.977289,1.681,1.636,71.0
212,9.47295,1.606,1.608,67.4
213,10.79803,1.779,1.783,76.8
214,9.126041,1.57,1.612,64.9
215,9.7722,1.699,1.637,69.5
216,9.157549,1.611,1.611,65.1
217,9.63678,1.634,1.718,68.6
218,8.882495,1.553,1.62,63.2
219,9.172832,1.651,1.593,65.3
220,8.909801,1.632,1.568,63.4
221,8.724175,1.557,1.625,62.1
222,8.453339,1.545,1.576,60.1
223,8.825775,1.662,1.575,62.8
224,8.647559,1.627,1.587,61.5
225,8.393547,1.571,1.613,59.7
226,7.6624584,1.515,1.499,54.5
227,8.514117,1.652,1.592,60.6
228,8.139654,1.574,1.568,57.9
229,8.052918,1.538,1.616,57.3
230,7.80844,1.518,1.57,55.5
231,8.250352,1.648,1.559,58.7
232,8.244435,1.6,1.608,58.6
233,8.383476,1.565,1.663,59.6
234,8.678962,1.61,1.651,61.7
235,8.811979,1.666,1.622,62.7
236,8.969415,1.698,1.625,63.8
237,8.74735,1.571,1.689,62.2
238,8.309194,1.526,1.623,59.1
239,8.965251,1.69,1.615,63.8
240,8.702996,1.627,1.606,61.9
241,8.318587,1.52,1.637,59.2
242,8.273568,1.499,1.633,58.9
243,8.474844,1.622,1.567,60.3
244,7.84608,1.56,1.499,55.8
245,0.051064793,0.0,0.0,0.363
246,-0.038375396,0.0,0.0,-0.273
247,-0.05375393,0.0,0.0,-0.382
248,-0.028929632,0.0,0.0,-0.206
249,-0.026493369,0.0,0.0,-0.188
250,-0.024960041,0.0,0.0,-0.178
251,-0.023662144,0.0,0.0,-0.168
252,6.4726944,1.416,1.418,46.0
253,7.7050185,1.517,1.457,54.8
254,8.291619,1.559,1.566,59.0
255,8.022319,1.539,1.496,57.1
256,8.904649,1.653,1.668,63.3
257,7.8316035,1.51,1.522,55.7
258,8.631384,1.622,1.6,61.4
259,8.220907,1.579,1.523,58.5
260,8.496789,1.562,1.633,60.4
261,7.6657653,1.476,1.516,54.5
262,8.295592,1.538,1.585,59.0
263,8.532665,1.561,1.598,60.7
264,7.8364553,1.484,1.526,55.7
265,7.510068,1.479,1.473,53.4
266,8.354652,1.571,1.603,59.4
267,8.372245,1.569,1.603,59.6
268,7.7748246,1.526,1.532,55.3
269,7.3868628,1.474,1.503,52.5
270,8.025479,1.611,1.542,57.1
271,7.782429,1.545,1.535,55.4
272,7.939957,1.572,1.583,56.5
273,7.4183736,1.508,1.505,52.8
274,8.103562,1.594,1.61,57.6
275,8.329012,1.647,1.598,59.3
276,8.020671,1.582,1.592,57.1
277,7.947028,1.551,1.582,56.5
278,8.471067,1.64,1.601,60.3
279,8.715632,1.664,1.623,62.0
280,8.085543,1.553,1.573,57.5
281,7.717682,1.491,1.536,54.9
282,8.462385,1.6,1.604,60.2
283,8.214119,1.593,1.554,58.4
284,8.167123,1.544,1.608,58.1
285,7.815398,1.502,1.565,55.6
286,8.556105,1.642,1.606,60.9
287,7.735303,1.535,1.54,55.0
288,0.047582664,0.0,0.0,0.338
289,-0.043131527,0.0,0.0,-0.307
290,-0.05525343,0.0,0.0,-0.393
291,-0.03472814,0.0,0.0,-0.247
292,-0.030417925,0.0,0.0,-0.216
293,-0.027348837,0.0,0.0,-0.195
294,-0.025087325,0.0,0.0,-0.178
295,6.5182495,1.42,1.426,46.4
296,7.7932076,1.474,1.517,55.4
297,8.473441,1.572,1.576,60.3
298,8.143627,1.52,1.527,57.9
299,9.047316,1.641,1.688,64.4
300,7.8729634,1.548,1.475,56.0
301,8.754196,1.625,1.618,62.3
302,8.483398,1.588,1.566,60.3
303,9.0536175,1.642,1.671,64.4
304,8.24225,1.567,1.548,58.6
305,8.657362,1.599,1.603,61.6
